央视频道,#genre#
广安新闻综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227543/index.m3u8
甘孜综合[720*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227549/index.m3u8
资阳新闻综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227547/index.m3u8
凉山彝语综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227553/index.m3u8
德阳文旅科教[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227555/index.m3u8
凉山新闻综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227551/index.m3u8
巴中综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227557/index.m3u8
阿坝[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227561/index.m3u8
阿坝藏语[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227563/index.m3u8
渠县广播,http://222.208.224.227:81/hls/nu6vbbdw.m3u8
渠县公共,http://222.208.224.227:81/hls/8ishqdtt.m3u8
渠县综合,http://222.208.224.227:81/hls/cfp2p8m3.m3u8
北川综合,http://live.sctvcloud.com/live/bcgqlive/playlist.m3u8
东兴综合频道,http://live.sctvcloud.com:80/live/dongxing/playlist.m3u8
乐至,http://175.155.106.72:89/live1/live1.m3u8


其他,#genre#
熊猫[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227565/index.m3u8
熊猫[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227567/index.m3u8
熊猫[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227569/index.m3u8
熊猫[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227571/index.m3u8
熊猫[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227573/index.m3u8
新闻综合[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227581/index.m3u8
熊猫[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227575/index.m3u8
购物[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227513/index.m3u8
清华大学电视台,http://live.cic.tsinghua.edu.cn/hls/tsinghuatv.m3u8

龙翔时代,http://gxfrg007.8800.org:8282/tsfile/live/1048_1.m3u8
东森电影,http://gxfrg007.8800.org:8282/tsfile/live/1049_1.m3u8
天映金典,http://gxfrg007.8800.org:8282/tsfile/live/1053_1.m3u8
中国电影频道,http://gxfrg007.8800.org:8282/tsfile/live/1088_1.m3u8
凤凰卫视电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
黑莓电影,http://183.207.249.14/PLTV/3/224/3221225567/index.m3u8
