root@MacBook:~# launchctl list
PID	Status	Label
174	0	com.apple.trustd
-	0	com.apple.cmio.IIDCVideoAssistant
-	0	com.apple.metrickitd
167	0	com.apple.security.syspolicy
-	0	com.apple.biometrickitd
-	-9	com.apple.usbd
166	0	com.apple.distnoted.xpc.daemon
199	0	com.apple.mDNSResponder.reloaded
-	0	com.apple.bridgeOSUpdateProxy
-	0	com.apple.bsd.dirhelper
155	0	com.apple.revisiond
-	0	com.apple.smb.preferences
688	0	com.apple.findmymacd
168	0	com.apple.cfprefsd.xpc.daemon
250	0	com.apple.driverkit.AppleUserHIDEventDriver-(0x1000003cf)
-	0	com.apple.xartstorageremoted
-	0	com.apple.unmountassistant.sysagent
-	0	com.apple.lskdd
90	0	com.apple.uninstalld
-	-9	com.apple.colorsync.displayservices
683	0	com.apple.xpc.smd
-	0	com.apple.gkreport
-	-9	com.apple.endpointsecurity.endpointsecurityd
333	0	com.apple.colorsyncd
-	0	com.apple.backupd
594	0	com.philandro.anydesk.Helper
-	0	com.apple.eoshostd
-	0	com.apple.airport.wps
171	0	com.apple.MobileFileIntegrity
-	0	com.apple.netauth.sys.auth
-	0	com.apple.testmanagerd
-	0	com.apple.nfsconf
107	0	com.apple.mobile.keybagd
-	0	com.apple.configureLocalKDC
410	0	com.apple.spindump
-	0	com.apple.lockd
114	0	com.apple.metadata.mds
-	0	com.apple.wwand
256	0	com.apple.cmio.VDCAssistant
-	0	com.apple.driver.eficheck
-	0	com.apple.printtool.daemon
-	0	com.intel.haxm
-	0	com.apple.pfctl
-	0	com.apple.security.authhost
-	0	com.apple.CommCenterRootHelper
-	0	com.apple.security.agent.login
-	0	com.disc-soft.DAEMONTools.PrivilegedHelper
-	0	com.apple.ionodecache
-	0	com.apple.gssd
-	0	com.apple.remotemanagementd
468	0	com.apple.CryptoTokenKit.ahp
867	0	com.apple.PerformanceAnalysis.animationperfd
-	0	com.adobe.fpsaud
-	0	com.apple.afpfs_afpLoad
135	0	com.apple.coreservices.launchservicesd
-	0	com.apple.dynamic_pager
-	-11	JetBrainsLicServerDVT
-	0	com.adobe.ARMDC.SMJobBlessHelper
-	0	com.apple.csrutil.report
-	0	com.apple.iokit.ioserviceauthorized
147	0	com.apple.Kerberos.kdc
-	0	com.apple.locate
-	0	com.apple.msrpc.srvsvc
996	0	com.apple.osanalytics.osanalyticshelper
-	0	com.apple.bnepd
-	0	com.apple.dpaudiothru
-	0	com.apple.familycontrols
-	0	com.apple.diagnosticextensions.osx.timemachine.helper
-	0	com.apple.kcproxy
-	0	com.adobe.acc.installer.v2
-	0	com.apple.XProtect.daemon.scan
672	0	com.apple.adid
357	0	com.apple.AmbientDisplayAgent
-	0	com.apple.storeagent.daemon
-	0	org.macosforge.xquartz.privileged_startx
-	-9	com.apple.wifivelocityd
-	0	com.apple.installandsetup.systemmigrationd
-	0	com.apple.metadata.mds.spindump
-	0	com.apple.Kerberos.kpasswdd
-	0	com.apple.WirelessRadioManager
248	0	com.apple.mobileassetd
-	0	com.apple.InstallerDiagnostics.installerdiagwatcher
-	0	com.apple.UpdateSettings
-	0	com.apple.msrpc.wkssvc
-	0	us.zoom.ZoomDaemon
827	0	com.apple.nfcd
-	0	com.apple.warmd
-	0	com.teamviewer.Helper
-	0	com.apple.powerd.swd
-	0	com.apple.ManagedClient
-	0	com.apple.xpc.uscwoap
117	0	com.apple.diskarbitrationd
1536	0	com.apple.dprivacyd
276	0	com.apple.backupd-helper
-	0	com.apple.netauth.sys.gui
-	0	com.apple.postfix.newaliases
-	0	com.apple.systemstats.daily
-	78	com.adobe.Acrobat.RemoverTool
-	0	com.apple.bluetoothaudiod
-	0	com.apple.startupdiskhelper
-	-9	com.apple.ifdreader
130	0	com.apple.opendirectoryd
-	0	com.apple.appstored
-	0	com.apple.DataDetectorsSourceAccess
132	0	com.apple.apsd
-	0	com.apple.internal.aupbregistrarservice
133	0	homebrew.mxcl.httpd
-	0	com.apple.ManagedClient.cloudconfigurationd
-	0	com.apple.GameController.gamecontrollerd
253	0	com.apple.apfsd
146	0	com.apple.dasd
-	0	com.apple.sessionlogoutd
856	0	com.apple.AssetCacheManagerService
150	0	com.vbaudio.vbcableagent
-	0	com.apple.xtyped
-	0	com.apple.storeaccountd.daemon
-	0	com.apple.cmio.AVCAssistant
-	0	com.bombich.ccc
176	0	com.apple.analyticsd
534	0	com.apple.diskmanagementd
259	0	com.apple.CodeSigningHelper
-	-9	com.apple.sandboxd
224	0	com.apple.sysmond
162	0	com.apple.corebrightnessd
-	0	com.apple.tailspind
-	0	com.apple.storeassetd.daemon
